id,title,url,group_id,thumbnail_url,icon,color_gradient,clicks,enabled,display_order,is_internal,created_at,updated_at,subtitle,is_featured,card_height,event_id,card_width,override_date,override_time,manual_order_override
"e69597bf-2609-488f-9177-653d5b78cd3a","🎉 Ame Laroc Festival - Segunda","https://bit.ly/THP_ALF26","bd915876-c621-4710-b9d6-e67b06b8156c","https://nzbyyuqvhrwatmydxiag.supabase.co/storage/v1/object/public/event-images/1771246624029-mln2j.jpeg","Calendar","",5,true,1771257600,false,"2026-01-28T11:04:37.176365+00:00","2026-02-17T00:42:08.279219+00:00","🎟️ Compre com DESCONTO pelo link: ",false,80,"cc94b880-520f-43e5-b208-ebfe5f3c78fb",650,"","",false
"f4d73daa-cd2b-41bb-9e20-8c45966685c3","Vintage Culture Guarujá","https://bit.ly/MDAccula_2912_VintageGuaru","67a9613d-824f-4dac-ad20-20ef1ff132e8","https://nzbyyuqvhrwatmydxiag.supabase.co/storage/v1/object/public/event-images/1766407093160-5ekf02.jpeg","Calendar","",2,true,1767020400,false,"2025-12-22T12:39:52.042308+00:00","2025-12-27T07:40:56.194583+00:00","🎟️ Compre pelo link: ",false,80,"4e95940f-4789-473c-affe-767f560b4b38",650,"","",false
"806fcd31-dab0-497b-a850-05ee3df94d46","Parador Pascoa apres. Vintage Culture","https://bit.ly/MDAccula_0304_Parador","0207c3d1-342a-4380-85a1-cf2daa14c4bc","https://nzbyyuqvhrwatmydxiag.supabase.co/storage/v1/object/public/event-images/1770822344792-g9ewv.png","Calendar","",36,true,1775232000,false,"2026-02-11T15:20:36.787576+00:00","2026-02-19T17:02:19.205392+00:00","🎟️ Compre 5% OFF pelo link:",false,80,"cc9a149b-690b-4528-a0c4-c7e8e98a521a",650,"","",false
"1f118171-5260-46d5-acf8-07e654d90a2c","Parador apres. Antdot, Bruno Be e+++","https://bit.ly/MDAccula_1502_Parador","0207c3d1-342a-4380-85a1-cf2daa14c4bc","https://nzbyyuqvhrwatmydxiag.supabase.co/storage/v1/object/public/event-images/1770822111019-g5okjf.png","Calendar","",1,true,1771171200,false,"2025-12-06T10:58:20.001148+00:00","2026-02-14T15:20:38.022949+00:00","🎟️ Compre 5% OFF pelo link:",false,"","8e6d6388-6f43-44af-a79e-1218df1cdd87",700,"","",false
"6af2c57b-9a3f-4dd5-84a4-9e99dbedb6d5","Caos Campinas apres. Patrice Baumel","https://bit.ly/MDAccula_2401_Caos","57ff6618-6288-42e7-aa04-55311db22f8b","https://nzbyyuqvhrwatmydxiag.supabase.co/storage/v1/object/public/event-images/1767809436665-k9sdho.jpeg","Calendar","",5,true,1769292000,false,"2026-01-07T18:10:35.196124+00:00","2026-01-23T20:11:18.139609+00:00","🎟️ Compre 5% OFF pelo link: ",false,80,"806eeeda-e6db-4e2a-8ae3-40096027dbd8",650,"","",false
"a40546b8-9a23-41b8-b628-798feb5987a0","D.EDGE apres. SuperAfter","bit.ly/MDAccula_DEdge_listas","dd88fff8-b138-44a3-bcf4-1139823049ac","https://nzbyyuqvhrwatmydxiag.supabase.co/storage/v1/object/public/event-images/0.8762608676338589.webp","Calendar","from-purple-500 to-pink-500",0,false,17,false,"2026-02-10T06:00:05.415457+00:00","2026-02-10T14:48:41.832038+00:00","📄 Listas VIP Fem / Consuma Masc pelo link: ",false,60,"",650,"","",false
"d8891bec-4712-469c-9bab-fcd9fbcb717b","BOMA Carnario - Artbat 🇺🇦, Camelphat 🇬🇧","https://bit.ly/MDAccula_1702_BOMARJ","bd915876-c621-4710-b9d6-e67b06b8156c","https://nzbyyuqvhrwatmydxiag.supabase.co/storage/v1/object/public/event-images/1768481872731-fafg3r.jpg","Calendar","",0,true,1771365600,false,"2026-01-15T12:57:00.69708+00:00","2026-02-14T15:18:34.176315+00:00","🎟 Compre com DESCONTO pelo link: ",false,80,"b91a579e-5870-46d9-a5d1-00f8c2c3010a",650,"","",false
"4646ce12-9b96-469c-9c0d-b23340a7449d","GV apres. Hugel, Illusionize e+++","https://bit.ly/MDAccula_0301_GreenValley","8743ca78-8de4-4887-a8d2-2fd8728fabb7","https://nzbyyuqvhrwatmydxiag.supabase.co/storage/v1/object/public/event-images/1764682160046-ouwi.jpg","Calendar","",74,true,3,false,"2025-12-10T12:02:51.89688+00:00","2026-01-05T13:11:17.745697+00:00","‼️ TEMOS COM DESCONTO VIA PIX!!",false,"","5712248d-4a14-40be-b034-7f261dd28907",700,"","",false
"ef6dceec-5323-4430-8960-fb7748396310","Parador apres. Bloco da Favorita","https://bit.ly/MDAccula_1402_Parador","bd915876-c621-4710-b9d6-e67b06b8156c","https://nzbyyuqvhrwatmydxiag.supabase.co/storage/v1/object/public/event-images/1770822034488-p5ff61.png","Calendar","",3,true,1771084800,false,"2025-11-21T14:37:33.336107+00:00","2026-02-14T15:20:17.199623+00:00","🎟️ Compre 5% OFF pelo link: ",false,"","2916fdfc-32c5-48e4-8751-195bbf61241d",700,"","",false
"308522ea-6fd0-419a-b9da-6c21ab1028d8","D.EDGE Moving","https://bit.ly/MDAccula_DEdge_listas","dd88fff8-b138-44a3-bcf4-1139823049ac","https://nzbyyuqvhrwatmydxiag.supabase.co/storage/v1/object/public/event-images/1765308936544-zlsfwci.jpg","Calendar","",0,true,0,false,"2025-12-09T19:35:59.246742+00:00","2026-02-10T14:48:32.367015+00:00","📄 Listas VIP Fem/Consuma Masc pelo link:",false,"","c76223fb-a580-4fbf-917b-c0e530fb707a",700,"","",false
